CID;Tipo;BTS Name;Direccion;Latitud;Gra;Min;Seg;Longitud;Gra;Min;Seg;Altura;Vector;Tilt;Region
11;GSM;BOG.Colina_1;Carrera 138 No. 54 - 01. Torre 9;4,726722000;4;43;36,20;-74,066830000;-74;4;0,59;21;0;6;Oriente
12;GSM;BOG.Colina_2;Carrera 138 No. 54 - 01. Torre 9;4,726722000;4;43;36,20;-74,066830000;-74;4;0,59;21;100;5;Oriente
13;GSM;BOG.Colina_3;Carrera 138 No. 54 - 01. Torre 9;4,726722000;4;43;36,20;-74,066830000;-74;4;0,59;21;290;6;Oriente
14;GSM;BOG.Colina_A;Carrera 138 No. 54 - 01. Torre 9;4,726722000;4;43;36,20;-74,066830000;-74;4;0,59;21;0;5;Oriente
15;GSM;BOG.Colina_B;Carrera 138 No. 54 - 01. Torre 9;4,726722000;4;43;36,20;-74,066830000;-74;4;0,59;21;100;3;Oriente
16;GSM;BOG.Colina_C;Carrera 138 No. 54 - 01. Torre 9;4,726722000;4;43;36,20;-74,066830000;-74;4;0,59;21;290;5;Oriente
21;GSM;BOG.Cedritos_1;Carrera 25 No. 149A - 27;4,729380000;4;43;45,77;-74,036600000;-74;2;11,76;20;60;6;Oriente
22;GSM;BOG.Cedritos_2;Carrera 25 No. 149A - 27;4,729380000;4;43;45,77;-74,036600000;-74;2;11,76;20;140;6;Oriente
23;GSM;BOG.Cedritos_3;Carrera 25 No. 149A - 27;4,729380000;4;43;45,77;-74,036600000;-74;2;11,76;20;260;5;Oriente
24;GSM;BOG.Cedritos_A;Carrera 25 No. 149A - 27;4,729380000;4;43;45,77;-74,036600000;-74;2;11,76;20;60;4;Oriente
25;GSM;BOG.Cedritos_B;Carrera 25 No. 149A - 27;4,729380000;4;43;45,77;-74,036600000;-74;2;11,76;20;140;4;Oriente
26;GSM;BOG.Cedritos_C;Carrera 25 No. 149A - 27;4,729380000;4;43;45,77;-74,036600000;-74;2;11,76;20;260;2;Oriente
31;GSM;BOG.Batan_1;Transversal 33A No.125 - 63;4,706421000;4;42;23,12;-74,055800000;-74;3;20,88;30;5;5;Oriente
32;GSM;BOG.Batan_2;Transversal 33A No.125 - 63;4,706421000;4;42;23,12;-74,055800000;-74;3;20,88;30;135;5;Oriente
33;GSM;BOG.Batan_3;Transversal 33A No.125 - 63;4,706421000;4;42;23,12;-74,055800000;-74;3;20,88;30;270;5;Oriente
34;GSM;BOG.Batan_A;Transversal 33A No.125 - 63;4,706421000;4;42;23,12;-74,055800000;-74;3;20,88;30;5;2;Oriente
35;GSM;BOG.Batan_B;Transversal 33A No.125 - 63;4,706421000;4;42;23,12;-74,055800000;-74;3;20,88;30;135;2;Oriente
36;GSM;BOG.Batan_C;Transversal 33A No.125 - 63;4,706421000;4;42;23,12;-74,055800000;-74;3;20,88;30;270;2;Oriente
41;GSM;BOG.San Patricio-1_1;Calle 106 No. 18 - 50;4,691720000;4;41;30,19;-74,047700000;-74;2;51,72;25;340;9;Oriente
42;GSM;BOG.San Patricio-1_2;Calle 106 No. 18 - 50;4,691720000;4;41;30,19;-74,047700000;-74;2;51,72;25;130;7;Oriente
43;GSM;BOG.San Patricio-1_3;Calle 106 No. 18 - 50;4,691720000;4;41;30,19;-74,047700000;-74;2;51,72;25;290;7;Oriente
44;GSM;BOG.San Patricio-1_A;Calle 106 No. 18 - 50;4,691720000;4;41;30,19;-74,047700000;-74;2;51,72;25;340;8;Oriente
45;GSM;BOG.San Patricio-1_B;Calle 106 No. 18 - 50;4,691720000;4;41;30,19;-74,047700000;-74;2;51,72;25;130;6;Oriente
46;GSM;BOG.San Patricio-1_C;Calle 106 No. 18 - 50;4,691720000;4;41;30,19;-74,047700000;-74;2;51,72;25;290;6;Oriente
