Municipio;Departamento;Latitud;Longitud
MEDELLÍN;ANTIOQUIA;6.257590259;-75.61103107
ABEJORRAL;ANTIOQUIA;5.803728154;-75.43847353
ABRIAQUÍ;ANTIOQUIA;6.627569378;-76.08597756
ALEJANDRÍA;ANTIOQUIA;6.365534125;-75.09059702
AMAGÁ;ANTIOQUIA;6.032921994;-75.7080031
AMALFI;ANTIOQUIA;6.977788843;-74.9812393
ANDES;ANTIOQUIA;5.604993248;-75.94128391
ANGELÓPOLIS;ANTIOQUIA;6.121430303;-75.71594966
ANGOSTURA;ANTIOQUIA;6.861498764;-75.358316
ANORÍ;ANTIOQUIA;7.193110778;-75.10848954
SANTA FÉ DE ANTIOQUIA;ANTIOQUIA;6.535711576;-75.90426658
ANZÁ;ANTIOQUIA;6.293546613;-75.91736927
APARTADÓ;ANTIOQUIA;7.86047815;-76.58236264
ARBOLETES;ANTIOQUIA;8.611395262;-76.41478317
ARGELIA;ANTIOQUIA;5.708114524;-75.09469795
ARMENIA;ANTIOQUIA;6.163683758;-75.80995528
BARBOSA;ANTIOQUIA;6.443417935;-75.32924085
BELMIRA;ANTIOQUIA;6.665853953;-75.68621659
BELLO;ANTIOQUIA;6.358841086;-75.58973588
BETANIA;ANTIOQUIA;5.727081285;-75.98689107
BETULIA;ANTIOQUIA;6.185783612;-75.95649246
CIUDAD BOLÍVAR;ANTIOQUIA;5.840995666;-76.01065253
BRICEÑO;ANTIOQUIA;7.111788462;-75.56223474
BURITICÁ;ANTIOQUIA;6.80906489;-75.91206595
CÁCERES;ANTIOQUIA;7.665155105;-75.22369744
CAICEDO;ANTIOQUIA;6.423463639;-75.99351498
CALDAS;ANTIOQUIA;6.054446841;-75.62642674
CAMPAMENTO;ANTIOQUIA;7.036017478;-75.28766178
CAÑASGORDAS;ANTIOQUIA;6.814950023;-76.02689632
CARACOLÍ;ANTIOQUIA;6.33797388;-74.73354817
CARAMANTA;ANTIOQUIA;5.555275296;-75.63082096
CAREPA;ANTIOQUIA;7.757967437;-76.64374657
EL CARMEN DE VIBORAL;ANTIOQUIA;5.978078841;-75.2635361
CAROLINA;ANTIOQUIA;6.754821442;-75.30590654
CAUCASIA;ANTIOQUIA;7.867941792;-75.03501824
CHIGORODÓ;ANTIOQUIA;7.631665644;-76.63964213
CISNEROS;ANTIOQUIA;6.550065431;-75.08254116
COCORNÁ;ANTIOQUIA;6.005593074;-75.16015403
CONCEPCIÓN;ANTIOQUIA;6.376106187;-75.21785901
CONCORDIA;ANTIOQUIA;6.057468678;-75.90014678
COPACABANA;ANTIOQUIA;6.351882893;-75.50075633
DABEIBA;ANTIOQUIA;6.992243782;-76.31426328
DONMATÍAS;ANTIOQUIA;6.492403905;-75.42227687
EBÉJICO;ANTIOQUIA;6.326444922;-75.78331175
EL BAGRE;ANTIOQUIA;7.704633351;-74.66427726
ENTRERRÍOS;ANTIOQUIA;6.594656004;-75.55913083
ENVIGADO;ANTIOQUIA;6.154394922;-75.54686779
FREDONIA;ANTIOQUIA;5.887702934;-75.67926242
FRONTINO;ANTIOQUIA;6.691364773;-76.33199656
GIRALDO;ANTIOQUIA;6.663095863;-75.94804663
GIRARDOTA;ANTIOQUIA;6.379745895;-75.44795744
GÓMEZ PLATA;ANTIOQUIA;6.709562839;-75.19270291
GRANADA;ANTIOQUIA;6.123380721;-75.12763646
GUADALUPE;ANTIOQUIA;6.861576325;-75.22591303
GUARNE;ANTIOQUIA;6.266625703;-75.43730801
GUATAPÉ;ANTIOQUIA;6.236329826;-75.15651272
HELICONIA;ANTIOQUIA;6.214511788;-75.74971002
HISPANIA;ANTIOQUIA;5.797039002;-75.90669203
ITAGÜÍ;ANTIOQUIA;6.179279438;-75.6142037
ITUANGO;ANTIOQUIA;7.341549718;-75.67842277
JARDÍN;ANTIOQUIA;5.574444339;-75.81842575
JERICÓ;ANTIOQUIA;5.769820536;-75.76488256
LA CEJA;ANTIOQUIA;5.992524843;-75.43086935
LA ESTRELLA;ANTIOQUIA;6.137595883;-75.64895499
LA PINTADA;ANTIOQUIA;5.746583958;-75.60220206
LA UNIÓN;ANTIOQUIA;5.940434685;-75.35429023
LIBORINA;ANTIOQUIA;6.723990935;-75.78300046
MACEO;ANTIOQUIA;6.534573585;-74.71410854
MARINILLA;ANTIOQUIA;6.18520515;-75.30487933
MONTEBELLO;ANTIOQUIA;5.916853903;-75.51972693
MURINDÓ;ANTIOQUIA;6.828773855;-76.70861349
MUTATÁ;ANTIOQUIA;7.329557848;-76.4630657
NARIÑO;ANTIOQUIA;5.581275312;-75.19457019
NECOCLÍ;ANTIOQUIA;8.493728551;-76.67699588
NECHÍ;ANTIOQUIA;7.983477394;-74.65844186
